gyro_x,gyro_y,gyro_z,label
-0.22,-0.39,-0.56,left
-0.21,-0.44,-0.65,left
-0.21,-0.44,-0.65,left
-0.19,-0.37,-0.54,left
-0.45,-0.51,-0.67,left
-0.45,-0.51,-0.67,left
-0.34,-0.41,-0.51,left
-0.32,-0.42,-0.68,left
-0.32,-0.42,-0.68,left
-0.50,-0.39,-0.66,left
-0.09,-0.45,-0.33,left
-0.09,-0.45,-0.33,left
-0.41,-0.31,-0.78,left
-0.25,-0.46,-0.41,left
-0.25,-0.46,-0.41,left
-0.14,-0.39,-0.71,left
-0.44,-0.43,-0.54,left
-0.20,-0.38,-0.76,left
-0.25,-0.38,-0.60,left
-0.11,-0.38,-0.55,left
-0.38,-0.32,-0.52,left
-0.50,-0.38,-0.76,left
-0.34,-0.40,-0.48,left
-0.34,-0.30,-0.70,left
-0.26,-0.48,-0.56,left
0.03,-0.43,-0.45,left
-0.26,-0.33,-0.63,left
-0.62,-0.34,-0.45,left
-0.13,-0.44,-0.51,left
-0.46,-0.37,-0.61,left
-0.09,-0.35,-0.57,left
-0.37,-0.38,-0.65,left
-0.33,-0.36,-0.58,left
-0.33,-0.36,-0.58,left
-0.37,-0.41,-0.59,left
-0.55,-0.47,-0.57,left
-0.11,-0.22,-0.29,left
-0.26,-0.09,-0.40,left
-0.14,-0.19,-0.27,left
-0.32,-0.15,-0.25,left
-0.26,-0.10,-0.12,left
-0.21,-0.00,-0.04,left
-0.21,-0.00,-0.04,left
-0.21,0.08,0.09,left
-0.15,0.06,0.10,left
-0.21,0.06,0.08,left
-0.13,0.05,0.04,left
-0.31,0.01,-0.01,left
-0.13,0.04,0.03,left
-0.28,0.05,0.03,left
-0.28,0.05,0.03,left
-0.22,0.03,0.03,left
-0.20,0.02,0.02,left
-0.21,0.04,0.04,left
-0.21,0.04,0.04,left
0.04,0.19,0.15,left
-0.38,0.24,0.22,left
0.04,0.21,0.26,left
-0.22,0.18,0.21,left
-0.27,0.04,0.18,left
-0.25,0.03,0.05,left
-0.12,0.12,0.07,left
-0.12,0.12,0.07,left
-0.28,0.03,0.16,left
-0.33,-0.06,0.01,left
-0.23,0.09,0.11,left
-0.08,0.11,0.20,left
-0.19,0.06,-0.01,left
-0.25,0.07,0.07,left
-0.14,0.03,0.05,left
-0.22,0.06,0.00,left
-0.19,0.07,0.10,left
-0.10,0.09,0.09,left
-0.25,0.04,0.02,left
-0.15,0.01,0.06,left
-0.15,0.01,0.06,left
-0.20,0.05,0.07,left
-0.23,0.14,0.10,left
-0.14,0.08,0.05,left
-0.12,0.13,0.17,left
-0.20,0.02,0.06,left
-0.28,-0.00,-0.02,left
-0.18,0.04,0.04,left
-0.18,0.04,0.04,left
-0.08,0.05,0.06,left
-0.08,0.05,0.06,left
-0.12,0.09,0.07,left
-0.21,0.06,0.05,left
-0.29,0.03,0.10,left
-0.21,-0.01,0.03,left
-0.31,-0.00,0.02,left
-0.31,-0.00,0.02,left
-0.25,-0.00,0.05,left
-0.20,0.05,0.03,left
-0.20,0.08,0.03,left
-0.19,0.02,0.02,left
-0.19,0.04,0.06,left
-0.33,-0.05,0.06,left
-0.19,0.01,0.00,left
-0.19,0.01,0.00,left
-0.15,0.06,0.01,left
-0.13,0.02,-0.03,left
-0.21,-0.03,-0.03,left
-0.25,-0.04,0.01,left
-0.25,-0.04,0.01,left
-0.25,-0.20,0.00,left
-0.12,-0.37,-0.06,left
-0.12,-0.37,-0.06,left
0.72,-0.66,-0.19,left
1.71,-1.01,0.19,left
1.71,-1.01,0.19,left
2.37,-1.38,0.60,left
2.10,-1.28,0.62,left
2.05,-1.00,0.43,left
1.66,-0.72,0.04,left
1.36,-0.35,-0.13,left
0.85,0.15,-0.49,left
0.39,0.72,-1.06,left
0.39,0.72,-1.06,left
-0.64,1.87,-2.02,left
-1.22,2.22,-2.40,left
-1.26,2.63,-2.71,left
-2.81,-0.20,0.35,left
1.69,-1.04,0.75,left
-4.85,0.31,0.55,left
-1.89,-0.58,0.48,left
-1.89,-0.58,0.48,left
-3.80,-0.56,0.90,left
-3.38,-0.83,1.22,left
-0.27,0.66,0.26,left
-0.67,-1.48,0.12,left
