gyro_x,gyro_y,gyro_z,label
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.04,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.04,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
-0.20,-0.00,0.03,idle
