gyro_x,gyro_y,gyro_z,label
-0.19,-0.15,1.54,left
-0.14,-0.07,1.79,left
-0.18,-0.14,1.87,left
-0.15,-0.12,1.86,left
-0.20,-0.13,1.77,left
-0.15,-0.11,1.70,left
-0.18,-0.16,1.63,left
-0.17,-0.05,1.71,left
-0.18,-0.14,1.84,left
-0.19,-0.15,1.92,left
-0.18,-0.11,1.80,left
-0.14,-0.11,1.78,left
-0.11,-0.03,1.92,left
-0.18,-0.14,1.86,left
-0.15,-0.08,1.89,left
-0.19,-0.12,1.95,left
-0.13,-0.08,1.94,left
-0.19,-0.20,2.14,left
-0.20,-0.13,1.89,left
-0.20,-0.17,1.81,left
-0.17,-0.12,1.73,left
-0.16,-0.17,2.07,left
-0.18,-0.09,1.75,left
-0.14,-0.12,1.86,left
-0.12,-0.08,1.78,left
-0.18,-0.14,1.91,left
-0.17,-0.14,1.90,left
-0.18,-0.14,1.79,left
-0.13,-0.11,1.76,left
-0.14,-0.02,1.80,left
-0.18,-0.15,1.86,left
-0.15,-0.15,1.88,left
-0.18,-0.09,1.83,left
