gyro_x,gyro_y,gyro_z,label
-0.23,0.15,-2.28,right
-0.27,0.16,-2.11,right
-0.24,0.13,-2.24,right
-0.25,0.13,-2.11,right
-0.24,0.14,-2.16,right
-0.25,0.16,-2.26,right
-0.26,0.14,-2.09,right
-0.23,0.12,-2.10,right
-0.27,0.19,-2.23,right
-0.22,0.16,-2.15,right
-0.20,0.09,-2.13,right
-0.23,0.15,-2.15,right
-0.24,0.13,-2.16,right
-0.26,0.16,-2.15,right
-0.22,0.15,-2.15,right
-0.27,0.20,-2.18,right
-0.22,0.13,-2.14,right
-0.28,0.18,-2.05,right
-0.25,0.15,-2.08,right
-0.22,0.08,-2.14,right
-0.24,0.14,-2.10,right
-0.25,0.13,-2.06,right
-0.21,0.12,-2.20,right
-0.24,0.16,-2.16,right
-0.24,0.14,-2.04,right
-0.26,0.17,-2.16,right
-0.25,0.12,-2.16,right
-0.27,0.15,-2.09,right
-0.34,0.13,-2.16,right
-0.22,0.09,-2.17,right
-0.24,0.14,-2.23,right
-0.26,0.18,-2.19,right
